end_date,t_end,B,log_price,log_excess,momentum_6m
2012-07-25 12:00:00.000000000,3.002053,4.763463,0.930522,-0.321472,0.644069
2012-08-24 22:30:00.000000032,3.085387,4.530288,1.021032,-0.291391,0.897788
2012-09-24 09:00:00.000000032,3.168720,4.126513,1.078484,-0.292758,1.623477
2012-10-24 19:30:00.000000032,3.252053,3.617832,1.047913,-0.380620,2.215464
2012-11-24 06:00:00.000000032,3.335387,3.265329,1.091723,-0.392652,2.043314
2012-12-24 16:30:00.000000048,3.418720,2.790477,1.120117,-0.418721,1.756086
2013-01-24 03:00:00.000000048,3.502053,2.300689,1.252556,-0.339434,1.407121
2013-02-23 13:30:00.000000048,3.585387,2.081548,1.469926,-0.173966,1.153191
2013-03-26 00:00:00.000000048,3.668720,2.002007,1.890222,0.195621,0.421947
2013-04-25 10:30:00.000000064,3.752053,2.070880,2.155645,0.411474,0.207715
2013-05-25 21:00:00.000000064,3.835387,2.666412,2.113380,0.320727,1.570076
2013-06-25 07:30:00.000000064,3.918720,3.710758,1.998160,0.158068,1.643106
2013-07-25 18:00:00.000000064,4.002053,4.682027,1.956117,0.069584,1.896740
2013-08-25 04:30:00.000000080,4.085387,5.578881,2.046521,0.114505,1.421803
2013-09-24 15:00:00.000000080,4.168720,6.328135,2.101195,0.124614,1.313676
2013-10-25 01:30:00.000000064,4.252053,6.807148,2.259502,0.239237,0.810469
2013-11-24 12:00:00.000000096,4.335387,7.361682,2.898418,0.835317,-0.271651
2013-12-24 22:30:00.000000112,4.418720,8.150116,2.819713,0.714593,-0.123835
2014-01-24 09:00:00.000000112,4.502053,9.073208,2.904487,0.758132,-0.259275
2014-02-23 19:30:00.000000096,4.585387,9.775973,2.757423,0.570589,-0.106851
2014-03-26 06:00:00.000000128,4.668720,10.215255,2.758033,0.531451,-0.282767
2014-04-25 16:30:00.000000128,4.752053,10.388592,2.664737,0.399108,-0.231980
2014-05-26 03:00:00.000000128,4.835387,10.357866,2.762593,0.458597,-0.361883
2014-06-25 13:30:00.000000128,4.918720,10.323857,2.757796,0.416088,-0.504110
2014-07-26 00:00:00.000000128,5.002053,10.210738,2.774849,0.396064,-0.770308
2014-08-25 10:30:00.000000128,5.085387,10.050218,2.703997,0.288746,-0.651915
2014-09-24 21:00:00.000000128,5.168720,9.661502,2.616650,0.165526,-0.438899
2014-10-25 07:30:00.000000128,5.252053,8.988397,2.548747,0.062325,-0.405777
2014-11-24 18:00:00.000000128,5.335387,8.047353,2.581651,0.060485,-0.412905
2014-12-25 04:30:00.000000160,5.418720,6.966746,2.505740,-0.049630,-0.242705
2015-01-24 15:00:00.000000128,5.502053,5.558859,2.389695,-0.199358,0.148766
2015-02-24 01:30:00.000000128,5.585387,4.181047,2.378040,-0.244190,-0.057369
2015-03-26 12:00:00.000000160,5.668720,3.119700,2.397201,-0.257714,-0.048471
2015-04-25 22:30:00.000000160,5.752053,2.481792,2.345858,-0.341264,0.223125
2015-05-26 09:00:00.000000160,5.835387,1.765505,2.375199,-0.343669,0.270019
2015-06-25 19:30:00.000000160,5.918720,0.926819,2.384388,-0.365774,0.526634
2015-07-26 06:00:00.000000160,6.002053,-0.084652,2.464078,-0.316941,0.267394
2015-08-25 16:30:00.000000224,6.085387,-1.151367,2.349355,-0.462096,0.550797
2015-09-25 03:00:00.000000224,6.168720,-2.200286,2.372965,-0.468503,0.492914
2015-10-25 13:30:00.000000160,6.252053,-3.244142,2.457421,-0.413662,0.410407
2015-11-25 00:00:00.000000224,6.335387,-3.517346,2.510208,-0.390098,0.285813
2015-12-25 10:30:00.000000224,6.418720,-3.004401,2.647705,-0.281442,0.358112
